stock_code,prediction
002990.SZ,0.5276771187782288
600864.SH,0.5275092720985413
002313.SZ,0.526695966720581
300866.SZ,0.5254620313644409
002348.SZ,0.5239388346672058
601515.SH,0.523643434047699
688793.SH,0.5235403776168823
688520.SH,0.5233256816864014
688420.SH,0.521896481513977
688479.SH,0.5217938423156738
603779.SH,0.5212744474411011
688099.SH,0.5212256908416748
301631.SZ,0.5205463767051697
605318.SH,0.5202056765556335
300013.SZ,0.5182551145553589
301239.SZ,0.517594039440155
688266.SH,0.5152939558029175
301165.SZ,0.5149875283241272
688078.SH,0.5147929191589355
300062.SZ,0.514664351940155
002513.SZ,0.5119486451148987
301186.SZ,0.5118603706359863
688168.SH,0.5111411213874817
688805.SH,0.5103635787963867
600683.SH,0.5091259479522705
003005.SZ,0.5082594156265259
002640.SZ,0.5080267786979675
002298.SZ,0.5065360069274902
603322.SH,0.5057625770568848
601598.SH,0.5053245425224304
301003.SZ,0.5049839019775391
300561.SZ,0.5044416189193726
688215.SH,0.5029579997062683
300113.SZ,0.5016551613807678
301560.SZ,0.5016226768493652
001388.SZ,0.5015122890472412
301503.SZ,0.5008124709129333
688790.SH,0.5005767345428467
002121.SZ,0.499726265668869
600521.SH,0.4996938109397888
603890.SH,0.4993422329425812
600756.SH,0.4991556406021118
300834.SZ,0.49869978427886963
301499.SZ,0.4982093572616577
601162.SH,0.49792397022247314
688316.SH,0.497914582490921
001306.SZ,0.4964907169342041
000560.SZ,0.4945356249809265
300502.SZ,0.4943717122077942
688302.SH,0.4939621686935425
300763.SZ,0.49390727281570435
002725.SZ,0.49365922808647156
688117.SH,0.493328332901001
301361.SZ,0.4932318925857544
600642.SH,0.4932239055633545
002310.SZ,0.4932003617286682
603819.SH,0.49243542551994324
300236.SZ,0.4923223555088043
603178.SH,0.49208885431289673
003031.SZ,0.4919913411140442
603958.SH,0.49157607555389404
605319.SH,0.49153101444244385
002846.SZ,0.49101442098617554
002635.SZ,0.49079060554504395
300895.SZ,0.4904978573322296
688567.SH,0.49029889702796936
002848.SZ,0.49001339077949524
301587.SZ,0.4897812604904175
002975.SZ,0.48949718475341797
688348.SH,0.48863327503204346
600023.SH,0.48861682415008545
001256.SZ,0.48780766129493713
000889.SZ,0.4874492585659027
300242.SZ,0.48744121193885803
603558.SH,0.48738253116607666
002475.SZ,0.4871974289417267
300536.SZ,0.4871508479118347
300199.SZ,0.4870591461658478
688221.SH,0.4863963723182678
301393.SZ,0.486387699842453
002947.SZ,0.4861335754394531
688765.SH,0.48605841398239136
301051.SZ,0.48603102564811707
300204.SZ,0.4858356714248657
300085.SZ,0.48558509349823
300365.SZ,0.4854259490966797
000875.SZ,0.4852686822414398
301222.SZ,0.4847009479999542
001339.SZ,0.48464933037757874
002522.SZ,0.4845083951950073
688612.SH,0.48351794481277466
603757.SH,0.48350411653518677
603880.SH,0.48249056935310364
300308.SZ,0.4824450612068176
601778.SH,0.48229894042015076
688234.SH,0.48203909397125244
000701.SZ,0.48053669929504395
000571.SZ,0.4802783131599426
603929.SH,0.4790966212749481
600658.SH,0.4789474308490753
301479.SZ,0.4789038896560669
688115.SH,0.47865188121795654
300751.SZ,0.47847121953964233
603281.SH,0.4778582751750946
688795.SH,0.47773945331573486
600927.SH,0.47769445180892944
688267.SH,0.47678154706954956
600192.SH,0.4766099750995636
301306.SZ,0.4765557050704956
688218.SH,0.4765355587005615
688580.SH,0.4763278663158417
301191.SZ,0.4762022793292999
301345.SZ,0.47615742683410645
301265.SZ,0.47614145278930664
603978.SH,0.47604161500930786
301251.SZ,0.47557204961776733
300916.SZ,0.475447416305542
600863.SH,0.47514936327934265
300026.SZ,0.47495317459106445
000967.SZ,0.47476479411125183
600666.SH,0.47460299730300903
688359.SH,0.47457486391067505
600815.SH,0.47396811842918396
600999.SH,0.47376638650894165
002008.SZ,0.4734947979450226
300496.SZ,0.4734090566635132
603123.SH,0.4733280837535858
300210.SZ,0.47316309809684753
603115.SH,0.4730449318885803
301157.SZ,0.4726155400276184
301138.SZ,0.47253960371017456
300617.SZ,0.4724777936935425
688663.SH,0.4722534716129303
301043.SZ,0.47203895449638367
002373.SZ,0.4717399477958679
300777.SZ,0.4713696241378784
300056.SZ,0.47120267152786255
301188.SZ,0.47101902961730957
002135.SZ,0.4702664315700531
002292.SZ,0.47023895382881165
603219.SH,0.47014671564102173
605365.SH,0.46875640749931335
300523.SZ,0.4685591161251068
603312.SH,0.46848997473716736
301180.SZ,0.46807238459587097
301588.SZ,0.4679481089115143
601933.SH,0.46784108877182007
688515.SH,0.46759212017059326
301448.SZ,0.46747881174087524
001283.SZ,0.4669395387172699
300497.SZ,0.466874361038208
002396.SZ,0.46667811274528503
300259.SZ,0.4666370749473572
300586.SZ,0.4665756821632385
688345.SH,0.46645307540893555
688710.SH,0.4662730395793915
000809.SZ,0.46624940633773804
000813.SZ,0.4660700261592865
600800.SH,0.4659699499607086
600654.SH,0.4659622311592102
600061.SH,0.4659576714038849
688019.SH,0.4659506380558014
300405.SZ,0.4658915400505066
001872.SZ,0.4658326506614685
688197.SH,0.46572908759117126
601101.SH,0.46571022272109985
688485.SH,0.46565887331962585
000600.SZ,0.46519070863723755
603205.SH,0.46432608366012573
002797.SZ,0.4642960727214813
000883.SZ,0.4642750024795532
600702.SH,0.46410444378852844
688695.SH,0.4640412926673889
688416.SH,0.46394047141075134
000617.SZ,0.46381479501724243
300098.SZ,0.4637908935546875
300513.SZ,0.46359285712242126
600322.SH,0.463487833738327
300266.SZ,0.46346279978752136
301089.SZ,0.46326473355293274
600563.SH,0.4631885588169098
688012.SH,0.4631257653236389
600780.SH,0.46273350715637207
601728.SH,0.46261540055274963
603629.SH,0.4623546600341797
688411.SH,0.46187862753868103
002812.SZ,0.46184927225112915
688011.SH,0.46177977323532104
300480.SZ,0.4612519145011902
300400.SZ,0.46116623282432556
600207.SH,0.46098822355270386
301390.SZ,0.4609223008155823
601016.SH,0.460590124130249
603565.SH,0.46054792404174805
600343.SH,0.459993839263916
002213.SZ,0.4598042070865631
002832.SZ,0.459414541721344
688590.SH,0.45931023359298706
688248.SH,0.45890259742736816
603248.SH,0.4588738679885864
000682.SZ,0.4588679373264313
300494.SZ,0.45885995030403137
001212.SZ,0.45873841643333435
003018.SZ,0.4587070643901825
301516.SZ,0.4585575461387634
600546.SH,0.45835480093955994
600012.SH,0.45759621262550354
002355.SZ,0.4575490951538086
002176.SZ,0.4574144184589386
300843.SZ,0.4571249186992645
301628.SZ,0.45687705278396606
688484.SH,0.4567683935165405
300083.SZ,0.4565247595310211
688693.SH,0.4564000964164734
002943.SZ,0.4563012719154358
002429.SZ,0.4561941623687744
300518.SZ,0.4560646116733551
603990.SH,0.45603951811790466
301181.SZ,0.4559353291988373
688110.SH,0.455843061208725
688391.SH,0.455649733543396
300054.SZ,0.45506399869918823
688173.SH,0.4550275206565857
300429.SZ,0.4548940360546112
603369.SH,0.45437315106391907
603893.SH,0.4542510211467743
301327.SZ,0.45399731397628784
688387.SH,0.45384716987609863
688036.SH,0.4538164436817169
600171.SH,0.4537303149700165
601939.SH,0.4536745846271515
301449.SZ,0.4536738991737366
300073.SZ,0.4535171091556549
600163.SH,0.4534972012042999
603112.SH,0.4534309208393097
300438.SZ,0.45312055945396423
002655.SZ,0.4528636932373047
603286.SH,0.4527580142021179
688489.SH,0.452558308839798
000026.SZ,0.4524649679660797
000599.SZ,0.4524316191673279
688376.SH,0.45230287313461304
300603.SZ,0.4522397518157959
688702.SH,0.45212891697883606
003029.SZ,0.452019065618515
300969.SZ,0.45173680782318115
600577.SH,0.45168912410736084
301456.SZ,0.45167678594589233
300677.SZ,0.45163601636886597
300789.SZ,0.45162883400917053
600025.SH,0.4516243040561676
688179.SH,0.4515986740589142
002108.SZ,0.4515077769756317
688125.SH,0.45136597752571106
300990.SZ,0.45093637704849243
001358.SZ,0.45089343190193176
002453.SZ,0.450725257396698
002919.SZ,0.4507211744785309
301190.SZ,0.45068854093551636
002878.SZ,0.45052704215049744
000791.SZ,0.45051705837249756
601882.SH,0.45047274231910706
002527.SZ,0.4503767788410187
003816.SZ,0.4499954879283905
301626.SZ,0.44987139105796814
688677.SH,0.44938910007476807
688628.SH,0.4493182301521301
301002.SZ,0.4492345154285431
600135.SH,0.44905316829681396
601827.SH,0.4490213692188263
301487.SZ,0.4490175247192383
600929.SH,0.4489937722682953
301086.SZ,0.4489448368549347
001400.SZ,0.44873523712158203
603949.SH,0.4485214948654175
002169.SZ,0.44837382435798645
688459.SH,0.4483162760734558
003007.SZ,0.4478379189968109
300130.SZ,0.4477420151233673
301179.SZ,0.44747596979141235
688531.SH,0.44746899604797363
002422.SZ,0.4473783075809479
000429.SZ,0.44728121161460876
603093.SH,0.44700539112091064
600674.SH,0.44689905643463135
300134.SZ,0.4468860626220703
688536.SH,0.4468631446361542
300692.SZ,0.44681406021118164
301525.SZ,0.446631520986557
603278.SH,0.4466051757335663
300655.SZ,0.4464201033115387
688511.SH,0.44637802243232727
002840.SZ,0.4463694095611572
688141.SH,0.4463425874710083
002179.SZ,0.4463196396827698
001266.SZ,0.446161150932312
002050.SZ,0.4461158812046051
301128.SZ,0.44611361622810364
300616.SZ,0.44603416323661804
600067.SH,0.4460020959377289
603020.SH,0.4459834396839142
688409.SH,0.4459588825702667
300072.SZ,0.4456510841846466
002536.SZ,0.44562286138534546
002031.SZ,0.44558480381965637
603288.SH,0.44553908705711365
